id;name;del_status;created_by;created_date;last_modified_by;last_modified_date
1;Lotlux;false;system;2016-05-03 16:40:10;;2016-09-07 07:30:54
2;Y-Solowarm;false;system;2016-11-04 09:00:53;;2016-09-03 03:08:48
3;Home Ing;false;system;2016-09-16 23:49:02;;2016-12-07 13:17:38
4;Tampflex;false;system;2017-01-03 10:20:49;;2016-08-12 08:28:30
5;Veribet;false;system;2016-12-08 02:06:25;;2017-01-28 06:59:09
6;Voltsillam;false;system;2017-02-24 05:48:55;;2016-09-21 18:20:03
7;Otcom;false;system;2016-09-17 13:28:24;;2016-12-21 11:44:12
8;Tempsoft;false;system;2016-06-27 09:00:16;;2016-11-27 09:56:42
9;Regrant;false;system;2017-03-01 14:07:17;;2016-05-27 13:04:37
10;Zontrax;false;system;2016-12-30 07:45:43;;2016-09-25 12:42:44
11;Y-Solowarm;false;system;2016-04-14 17:02:29;;2016-08-25 16:40:18
12;Transcof;false;system;2016-12-04 10:35:36;;2017-03-01 14:52:14
13;Sub-Ex;false;system;2016-08-28 02:14:48;;2016-12-16 18:59:46
14;Sonair;false;system;2016-11-05 18:33:54;;2016-12-10 03:34:38
15;Keylex;false;system;2016-10-05 21:13:08;;2016-12-20 12:26:39
16;Konklab;false;system;2016-08-29 15:34:23;;2016-06-26 08:06:31
17;Span;false;system;2017-04-04 12:21:11;;2016-09-27 16:06:16
18;Cookley;false;system;2017-01-26 18:13:01;;2016-08-19 20:06:30
19;Overhold;false;system;2016-08-11 20:25:05;;2016-12-24 03:08:36
20;Greenlam;false;system;2017-03-05 10:38:44;;2017-01-20 11:54:45
21;Sub-Ex;false;system;2016-05-19 00:34:32;;2016-05-13 17:40:55
22;Hatity;false;system;2017-01-09 21:36:20;;2016-11-05 07:46:26
23;Zoolab;false;system;2017-01-21 18:10:18;;2016-05-20 19:25:11
24;Cardify;false;system;2016-11-11 08:59:35;;2016-12-29 06:12:10
25;Fixflex;false;system;2017-03-13 18:54:49;;2016-08-22 16:30:13
26;Pannier;false;system;2016-12-02 12:06:22;;2016-08-02 07:58:23
27;Sonsing;false;system;2016-10-06 16:48:54;;2017-03-29 15:15:24
28;Greenlam;false;system;2017-01-14 03:15:57;;2016-05-31 03:39:29
29;Greenlam;false;system;2017-02-09 10:45:44;;2016-05-21 22:04:31
30;Kanlam;false;system;2016-04-20 13:12:39;;2017-03-29 20:48:27
31;Cookley;false;system;2016-05-30 21:35:10;;2016-08-18 09:53:01
32;Y-find;false;system;2016-07-19 01:07:25;;2016-12-19 12:23:25
