id;name;evaluation_id;del_status;created_by;created_date;last_modified_by;last_modified_date
1;abowman0;16;false;system;2017-02-14 21:01:41;;2017-02-04 23:09:18
2;kstone1;43;false;system;2016-11-13 21:45:10;;2016-05-03 16:04:24
3;tjohnson2;3;false;system;2016-06-18 10:35:15;;2016-04-13 20:06:24
4;cmartin3;29;false;system;2016-09-08 09:51:55;;2016-08-26 10:49:47
5;jcarr4;21;false;system;2017-01-28 08:42:00;;2016-05-02 21:37:03
6;kelliott5;36;false;system;2016-06-14 21:19:07;;2017-03-21 18:41:01
7;mmoreno6;47;false;system;2016-12-01 09:11:02;;2016-05-17 17:08:23
8;tfranklin7;4;false;system;2016-07-19 21:52:47;;2017-03-17 07:14:08
9;afrazier8;6;false;system;2017-02-25 09:51:57;;2016-05-15 15:18:09
10;mrichardson9;14;false;system;2016-06-12 01:11:00;;2016-08-23 19:46:46
11;jbakera;20;false;system;2016-09-03 07:35:15;;2017-02-28 06:40:25
12;lbowmanb;37;false;system;2016-11-05 09:28:33;;2017-01-14 19:16:00
13;jramirezc;40;false;system;2016-08-23 07:06:22;;2017-03-15 12:00:24
14;lwhited;14;false;system;2016-09-11 00:43:00;;2016-07-12 18:04:42
15;treynoldse;17;false;system;2016-12-14 12:48:27;;2016-11-11 14:30:23
16;acookf;3;false;system;2016-10-26 13:38:59;;2016-11-18 09:42:40
17;dturnerg;39;false;system;2017-01-15 20:17:15;;2017-02-12 02:11:56
18;cdayh;35;false;system;2017-03-22 04:26:59;;2016-08-01 10:18:39
19;rlittlei;13;false;system;2016-06-13 09:44:23;;2017-01-17 12:09:38
20;ltaylorj;39;false;system;2016-07-13 22:00:56;;2016-08-10 01:17:36
21;ahowardk;41;false;system;2016-07-28 02:34:43;;2016-11-28 07:19:40
22;kbanksl;4;false;system;2017-01-26 03:02:05;;2016-09-08 00:19:56
23;kadamsm;14;false;system;2016-10-29 02:01:33;;2017-03-09 01:52:48
24;bmcdonaldn;21;false;system;2016-07-10 14:30:30;;2017-01-08 00:37:00
25;aolsono;26;false;system;2016-06-12 20:56:25;;2016-10-26 12:19:41
