id;name;enabled;patient_signature;only_one;billable;force_staff_signature;force_staff_review_signature;json_template;type_patient_process_id;type_evaluation_id;evaluation_content_id;facility_id;created_by;created_date;last_modified_by;last_modified_date;del_status
1;SedTristique.ppt;true;false;false;false;true;false;error: Field 'null' not found;4;1;91;6;system;2016-05-28 22:17:35;;2016-08-19 19:47:15;false
2;NullaAcEnim.ppt;true;true;false;false;false;true;error: Field 'null' not found;1;4;47;6;system;2016-09-02 23:24:48;;2016-06-04 22:02:14;false
3;IdSapienIn.mp3;true;false;true;false;true;false;error: Field 'null' not found;4;2;81;2;system;2017-01-27 07:38:30;;2016-08-12 08:36:11;false
4;PhasellusSit.mp3;true;true;true;false;true;false;error: Field 'null' not found;1;4;75;3;system;2016-10-29 16:50:14;;2016-11-15 11:59:55;false
5;Dolor.ppt;false;false;false;true;false;false;error: Field 'null' not found;6;2;51;7;system;2017-03-13 04:57:00;;2016-04-20 21:00:30;false
6;OdioConsequat.avi;false;false;false;true;false;true;error: Field 'null' not found;6;5;10;10;system;2016-11-20 20:33:10;;2016-09-24 21:37:27;false
7;VelNulla.jpeg;true;false;true;true;true;true;error: Field 'null' not found;3;3;32;7;system;2016-07-19 19:37:11;;2016-05-14 22:16:21;false
8;VulputateUt.xls;true;false;true;true;false;true;error: Field 'null' not found;2;1;31;6;system;2017-03-06 16:21:07;;2017-04-08 09:03:08;false
9;QuamTurpis.xls;false;true;true;true;false;false;error: Field 'null' not found;3;3;60;1;system;2017-04-07 07:30:19;;2016-10-26 18:45:01;false
10;Pede.xls;false;true;true;false;false;true;error: Field 'null' not found;1;2;96;3;system;2016-11-03 19:11:36;;2016-12-09 22:18:34;false
11;EnimLeoRhoncus.avi;true;true;true;true;false;false;error: Field 'null' not found;2;2;92;10;system;2017-01-08 08:37:53;;2016-05-31 18:19:54;false
12;ALiberoNam.pdf;false;true;false;false;true;true;error: Field 'null' not found;1;1;5;3;system;2017-04-05 18:36:24;;2017-04-05 19:43:19;false
13;Accumsan.txt;false;true;true;false;false;true;error: Field 'null' not found;6;5;39;3;system;2017-01-18 06:30:15;;2016-05-15 00:50:12;false
14;SemperInterdum.mp3;true;false;false;false;true;false;error: Field 'null' not found;2;4;60;9;system;2016-07-29 13:06:25;;2016-09-02 21:05:51;false
15;EratFermentumJusto.mp3;false;true;true;true;false;false;error: Field 'null' not found;3;5;64;2;system;2016-05-04 01:49:16;;2017-03-27 12:58:11;false
16;NullaTellusIn.avi;false;true;true;true;false;false;error: Field 'null' not found;6;4;68;1;system;2016-11-09 18:50:37;;2016-09-11 14:38:10;false
17;Proin.jpeg;true;false;true;false;false;true;error: Field 'null' not found;1;5;66;1;system;2016-07-03 04:39:45;;2016-04-27 03:21:34;false
18;CondimentumNeque.jpeg;false;false;false;true;false;true;error: Field 'null' not found;3;3;62;8;system;2017-02-28 02:44:11;;2016-12-07 20:03:32;false
19;BibendumFelis.ppt;true;false;false;false;true;false;error: Field 'null' not found;5;3;64;6;system;2016-12-21 15:31:25;;2016-06-23 07:14:22;false
20;PlateaDictumst.ppt;true;false;true;false;false;true;error: Field 'null' not found;4;2;4;6;system;2016-06-28 00:19:34;;2016-10-13 23:38:07;false
21;Mauris.xls;false;false;true;true;false;true;error: Field 'null' not found;1;2;60;7;system;2016-06-24 03:46:13;;2016-05-14 16:15:01;false
22;Tempus.png;false;true;true;false;false;true;error: Field 'null' not found;4;1;46;6;system;2016-08-01 05:13:14;;2017-03-20 03:26:50;false
23;EleifendPedeLibero.mp3;true;false;false;true;false;false;error: Field 'null' not found;4;4;51;4;system;2016-07-05 15:32:49;;2016-12-13 15:38:03;false
24;OdioCrasMi.ppt;false;true;false;true;true;true;error: Field 'null' not found;5;5;81;4;system;2016-12-09 14:58:21;;2017-03-24 08:19:49;false
25;PosuereFelis.mp3;false;false;false;false;true;false;error: Field 'null' not found;4;2;23;9;system;2016-10-01 14:41:39;;2016-11-02 23:30:02;false
26;UltricesVelAugue.pdf;false;false;true;true;false;false;error: Field 'null' not found;4;1;18;4;system;2016-08-26 21:03:19;;2016-06-12 10:12:54;false
27;NatoquePenatibusEt.avi;false;false;true;false;false;true;error: Field 'null' not found;1;3;33;1;system;2017-03-29 03:03:42;;2016-05-07 22:50:41;false
28;LiberoUt.avi;true;true;false;false;false;false;error: Field 'null' not found;4;2;82;10;system;2017-04-08 22:16:13;;2017-03-20 13:03:49;false
29;IaculisCongueVivamus.avi;false;false;false;false;false;true;error: Field 'null' not found;3;3;81;6;system;2016-11-27 01:25:27;;2016-07-18 18:42:03;false
30;Eget.jpeg;false;false;false;true;true;true;error: Field 'null' not found;1;1;7;6;system;2016-06-29 01:56:22;;2017-03-30 14:00:55;false
31;LigulaSitAmet.mp3;true;true;true;true;false;true;error: Field 'null' not found;6;1;60;4;system;2016-12-24 05:53:24;;2016-10-31 13:51:41;false
32;Nibh.mp3;false;true;false;false;false;true;error: Field 'null' not found;2;5;79;4;system;2016-05-08 18:16:53;;2016-07-28 18:06:11;false
33;BibendumFelis.png;false;false;true;true;false;false;error: Field 'null' not found;3;3;56;3;system;2017-01-10 14:43:48;;2016-05-26 09:47:09;false
34;A.avi;false;true;false;true;false;true;error: Field 'null' not found;4;3;40;3;system;2016-08-19 08:00:47;;2017-02-04 09:52:49;false
35;Donec.xls;true;true;true;true;true;false;error: Field 'null' not found;3;2;54;6;system;2017-04-04 11:12:05;;2016-11-13 14:59:15;false
36;UltricesLiberoNon.jpeg;false;true;false;true;false;false;error: Field 'null' not found;6;2;84;9;system;2017-04-03 05:02:26;;2017-02-04 07:08:29;false
37;Id.xls;false;false;true;false;false;false;error: Field 'null' not found;1;2;31;9;system;2016-10-06 14:18:24;;2016-11-04 09:21:54;false
38;EstQuamPharetra.pdf;true;false;true;false;true;true;error: Field 'null' not found;5;2;7;2;system;2017-01-02 16:35:53;;2016-06-11 15:58:54;false
39;DonecDapibus.xls;false;true;false;true;false;true;error: Field 'null' not found;4;4;74;3;system;2016-11-12 15:00:26;;2016-10-28 03:21:23;false
40;SagittisDui.tiff;false;true;false;false;false;false;error: Field 'null' not found;3;5;46;4;system;2017-02-16 16:12:52;;2017-01-31 23:33:46;false
41;AcEnimIn.xls;false;true;false;true;false;false;error: Field 'null' not found;4;2;44;10;system;2016-07-01 23:42:54;;2016-05-27 08:13:31;false
42;MaecenasTristiqueEst.xls;false;false;true;false;false;false;error: Field 'null' not found;6;2;29;8;system;2016-05-10 02:46:59;;2016-05-02 03:01:49;false
