id;acctno;name;address;address_2;city;state;zip;phone;i_type;etin;del_status;created_by;last_modified_by;created_date;last_modified_date
1;MCAID;MEDICAID;PO BOX  7072;;Tallahasse;FL;323147072;1850201120;MCAID;77027;false;system;system;now();now()
2;HUMAN;HUMANA;;;;;;;INGENIX;;false;system;system;now();now()
3;MCARE;MEDICARE PART B;PO BOX 2360;;JACKSONVILLE;FL;32231;;MCARE;;false;system;system;now();now()
4;AVMED;AVMED;;;;;;;INGENIX;ETIN;false;system;system;now();now()
5;AMERI;AMERIGROUP MCARE ;PO BOX 61010;;VIRGINIA BEACH;VA;23466;;;;false;system;system;now();now()
6;CIGNA PPO;CIGNA PPO;PO BOX 182223;;CHATANOOGA;TN;37422;;;;false;system;system;now();now()
7;74297;AZ METAL TRADES;;;;;;;;;false;system;system;now();now()
8;AVM07;AVMED-AVM07;PO Box 569004; ;MIAMI;FL;33256;;;;false;system;system;now();now()
9;58208;PROGRESSIVE INSURANCE;4021 TAMPA RD;;OLDSMAR;FL;34677;;;;false;system;system;now();now()
10;62123;BETTER HEALTH PLA;PO BOX 211665; ;EAGAN;MN;55121;;;;false;system;system;now();now()
11;31114;CARESOURCE;PO BOX 1307; ;DAYTON;OH;45401;;;;false;system;system;now();now()
12;06197;CONNECTICARE;PO BOX 30757;;SLC;UT;84130;;;;false;system;system;now();now()
13;58205;COORD MED SPECIAL;;;;;;;;;false;system;system;now();now()
14;87777;EVERCARE;PO BOX 31361;;SALT LAKE CITY;UT;841310361;;;;false;system;system;now();now()
15;87090;FIRST HEALTH;PO BOX 8400;;LONDON;KY;40742;;;;false;system;system;now();now()
16;75216;GEISINGER HEALTH;PO BOX 8200; ;DANVILLE;PA;178218200;;;;false;system;system;now();now()
17;44033;GEHA;PO BOX 4665;;INDEPENDENCE;MO;64051;;;;false;system;system;now();now()
18;04266;HARVARD PILGRIM;P.O.  30783;;SALT LAKE CITY;UT;841300783;;;;false;system;system;now();now()
19;71014;HEALTHSCOPE BENEF;PO BOX 71063;;LUBBOCK;TX;79490;;;;false;system;system;now();now()
20;95858;HUMANA MEDICARE;PO BOX 14610; ;LEXINGTON;KY;40512;;;;false;system;system;now();now()
