id;code;description;units;specimen;status;del_status;created_by;created_date;last_modified_by;last_modified_date
1;79923;moderator;Milimmiter;zero tolerance;ACT;false;system;2016-07-16 14:15:06;;2016-12-28 00:42:27
2;5372;Polarised;Centimmeter;data-warehouse;ACT;false;system;2016-02-02 07:03:34;;2016-11-30 10:37:14
3;20292;Adaptive;Litter;Configurable;ACT;false;system;2016-06-08 04:16:45;;2016-01-26 07:31:32
4;77085;client-server;Gallons;next generation;ACT;false;system;2016-06-18 19:26:26;;2016-07-18 02:10:47
5;V061;framework;Milimmiter;scalable;ACT;false;system;2016-06-26 20:14:46;;2016-06-16 23:58:33
6;67614;secured line;Centimmeter;definition;ACT;false;system;2016-05-06 07:37:08;;2016-07-15 10:29:23
7;6318;fault-tolerant;Litter;Cross-platform;ACT;false;system;2016-12-12 01:56:25;;2016-11-18 16:31:30
8;20420;5th generation;Gallons;actuating;ACT;false;system;2016-01-25 23:54:34;;2016-12-21 15:46:07
9;71297;Balanced;Milimmiter;maximized;ACT;false;system;2016-08-24 23:32:00;;2016-12-09 06:18:39
10;9465;client-server;Centimmeter;Virtual;ACT;false;system;2016-03-17 16:59:19;;2016-07-16 10:32:21
11;71856;value-added;Litter;Graphic Interface;ACT;false;system;2016-04-29 06:41:51;;2016-10-12 23:08:45
12;E8434;definition;Gallons;Up-sized;ACT;false;system;2016-01-05 21:56:45;;2016-07-28 00:02:25
13;2590;analyzer;Milimmiter;User-friendly;ACT;false;system;2016-02-06 04:12:56;;2016-08-06 23:16:26
14;71105;pricing structure;Centimmeter;Multi-lateral;ACT;false;system;2016-08-06 05:13:51;;2016-06-17 13:19:18
15;5264;artificial intelligence;Litter;system engine;ACT;false;system;2016-02-19 05:14:55;;2016-02-13 00:35:49
16;59654;Multi-channelled;Gallons;Exclusive;ACT;false;system;2016-11-17 01:55:39;;2016-09-22 01:21:29
17;9626;access;Milimmiter;benchmark;ACT;false;system;2016-10-19 12:22:52;;2016-04-22 06:56:00
18;76512;6th generation;Centimmeter;neutral;ACT;false;system;2016-06-27 14:33:56;;2016-07-04 00:47:14
19;74402;Exclusive;Litter;encoding;ACT;false;system;2016-08-04 21:12:24;;2016-02-16 05:17:19
20;83663;Integrated;Gallons;grid-enabled;ACT;false;system;2016-03-16 08:28:35;;2016-03-28 05:55:34
21;V6107;website;Milimmiter;definition;ACT;false;system;2016-04-27 19:12:06;;2016-07-10 20:06:12
22;37064;methodology;Centimmeter;Diverse;ACT;false;system;2016-04-07 02:08:12;;2016-11-30 07:22:40
23;E8508;user-facing;Litter;dedicated;ACT;false;system;2016-07-31 06:13:20;;2016-12-14 13:55:02
24;99671;interactive;Gallons;interface;ACT;false;system;2016-06-06 06:59:48;;2016-03-07 03:13:32
25;80014;Devolved;Milimmiter;Synergistic;ACT;false;system;2016-03-23 13:53:18;;2016-09-24 07:36:02
26;E8101;projection;Centimmeter;Decentralized;ACT;false;system;2016-10-13 05:29:10;;2016-12-16 17:42:59
27;5063;Object-based;Litter;Mandatory;ACT;false;system;2016-07-19 19:21:57;;2016-07-15 06:11:17
28;9587;Programmable;Gallons;Re-engineered;ACT;false;system;2016-02-12 05:13:25;;2016-06-26 19:24:16
29;01306;grid-enabled;Milimmiter;contingency;ACT;false;system;2016-05-09 06:37:37;;2016-01-30 23:55:40
30;74349;time-frame;Centimmeter;function;ACT;false;system;2016-03-19 06:00:21;;2016-10-31 17:20:48
31;E0025;scalable;Litter;static;ACT;false;system;2016-11-21 23:55:09;;2016-08-31 17:38:22
32;43883;Monitored;Gallons;multimedia;ACT;false;system;2016-03-18 18:27:48;;2016-11-01 17:31:22
