id;name;status;created_by;created_date;last_modified_by;last_modified_date;del_status
1;Completed treatment;ACT;system;2016-06-16 07:03:18;;2016-08-05 05:09:55;false
2;Completed episode of care (substance free for at least 30 Days);ACT;system;2016-06-14 13:14:33;;2016-07-25 06:57:10;false
3;Left voluntarily before completing treatment (against medical;ACT;system;2016-08-27 21:55:00;;2016-08-14 01:47:57;false
4;clinical or staff advice);ACT;system;2016-04-11 13:14:30;;2016-11-08 10:20:00;false
5;Left involuntarily before completing treatment;ACT;system;2016-12-24 09:36:45;;2016-06-01 06:40:38;false
6;Referred outside of agency – episode of care completed;ACT;system;2016-08-03 07:46:36;;2016-09-26 01:11:42;false
7;Referred outside of agency – episode of care not completed;ACT;system;2016-11-27 12:49:46;;2016-05-12 23:49:02;false
8;Administrative discharge (initiated by the agency);ACT;system;2016-10-31 20:13:28;;2016-10-22 02:11:27;false
9;Non-compliant with agency’s rules;ACT;system;2016-11-18 14:05:58;;2016-09-17 04:26:07;false
10;Incarcerated;ACT;system;2016-09-27 05:47:07;;2016-06-06 03:08:53;false
11;Died;ACT;system;2016-01-27 05:58:44;;2016-09-15 03:12:15;false
12;Agency closed with no referral;ACT;system;2016-02-28 02:21:13;;2017-01-12 00:41:26;false
13;OTO patient was fighting;ACT;system;2016-09-01 22:38:35;;2016-03-12 13:00:39;false
14;OTO patient was marketing;ACT;system;2016-07-12 20:25:05;;2016-07-25 10:49:49;false
15;OTO patient caused police contact;ACT;system;2016-09-27 15:02:46;;2016-03-08 15:44:51;false
16;OTO patient brought in drugs;ACT;system;2016-10-28 21:33:29;;2016-07-23 10:02:28;false
17;OTO patient was combative with staff;ACT;system;2016-11-19 12:19:22;;2016-06-08 08:34:38;false
