id;name;status;created_by;created_date;last_modified_by;last_modified_date;del_status
1;Cuban;ACT;system;2016-04-23 01:45:02;;2017-01-06 06:24:36;false
2;Haitian;ACT;system;2016-02-07 02:05:58;;2016-05-24 10:31:51;false
3;Hispanic/Latino;ACT;system;2016-03-11 04:56:03;;2016-12-15 16:54:13;false
4;Mexican;ACT;system;2016-08-07 21:29:13;;2016-05-26 15:56:14;false
5;Mexican American;ACT;system;2016-03-06 20:12:56;;2016-03-10 09:26:47;false
6;Other Hispanic;ACT;system;2016-06-22 19:12:13;;2016-03-23 04:27:18;false
7;Other not listed;ACT;system;2016-08-01 18:55:42;;2016-04-03 12:52:47;false
8;Prefers not to answer;ACT;system;2016-08-29 13:55:00;;2016-04-05 21:20:21;false
9;Puerto Rican;ACT;system;2016-06-22 00:59:10;;2017-01-27 06:26:55;false
10;Spanish/Latino;ACT;system;2016-10-23 09:40:48;;2016-07-02 19:50:05;false
