id;name;status;created_by;created_date;last_modified_by;last_modified_date;del_status
1;Diabetic (sugar free/no sugar added products);ACT;system;2016-09-30 09:52:47;"";2016-07-27 15:00:41;false
2;Gluten-free due to Celiac Disease;ACT;system;2016-06-01 04:09:59;"";2016-01-10 22:11:37;false
3;Halal;ACT;system;2016-12-02 00:00:03;"";2016-12-28 21:36:02;false
4;High Blood Pressure (no added salt);ACT;system;2016-12-25 11:39:24;"";2016-10-05 12:46:07;false
5;Kosher;ACT;system;2016-09-23 21:05:19;"";2016-09-19 12:54:48;false
6;Lacto-Ovo Vegetarian (consume no animal products except milk and eggs);ACT;system;2016-08-17 03:04:17;"";2016-12-16 11:40:28;false
7;Lactose Intolerant (lactose free products);ACT;system;2016-05-22 07:22:41;"";2016-07-15 08:50:58;false
8;Other Vegetarian (consume some animal products);ACT;system;2016-02-19 10:41:46;"";2016-06-20 01:36:21;false
9;Pesco-vegetarian (consume no animal products except-fish-dairy and eggs);ACT;system;2016-08-26 07:23:03;"";2016-08-05 22:17:57;false
10;Vegan (consume no animal products-milk or eggs);ACT;system;2016-04-25 23:45:22;"";2016-05-29 20:33:00;false
